,Date,signal,vwap
2313,2023-05-09,0.0,
2314,2023-05-10,1.0,307.78333536783856
2315,2023-05-11,1.0,309.6610615877246
2316,2023-05-12,0.0,309.47130919876184
2317,2023-05-15,1.0,309.3308301045577
2318,2023-05-16,1.0,309.283201870213
2319,2023-05-17,1.0,309.7368991347282
2320,2023-05-18,1.0,310.2110563868363
2321,2023-05-19,1.0,311.16147063352867
2322,2023-05-22,1.0,311.9760028137642
2323,2023-05-23,1.0,312.81005669236697
2324,2023-05-24,1.0,313.35275095377716
2325,2023-05-25,1.0,313.4273167597008
2326,2023-05-26,1.0,314.78216841462245
2327,2023-05-30,1.0,316.2419947261215
2328,2023-05-31,1.0,317.4033131607448
2329,2023-06-01,1.0,318.7205449616992
2330,2023-06-02,1.0,319.3578281517802
2331,2023-06-05,1.0,320.15656818327824
2332,2023-06-06,1.0,320.80577741213574
2333,2023-06-07,1.0,321.28276818227386
2334,2023-06-08,1.0,321.660409712309
2335,2023-06-09,1.0,321.7895340821333
2336,2023-06-12,1.0,321.9751859914648
2337,2023-06-13,1.0,322.2576146952868
2338,2023-06-14,1.0,322.64623690872116
2339,2023-06-15,1.0,323.1478729994901
2340,2023-06-16,1.0,324.2811054158309
2341,2023-06-20,1.0,325.5035119600102
2342,2023-06-21,1.0,325.92443617063975
2343,2023-06-22,1.0,326.1765511793168
2344,2023-06-23,1.0,326.4880274249484
2345,2023-06-26,1.0,326.7195187276736
2346,2023-06-27,1.0,326.82144146896627
2347,2023-06-28,1.0,326.9899273218118
2348,2023-06-29,1.0,327.177053821698
2349,2023-06-30,1.0,327.30574724796173
2350,2023-07-03,1.0,327.64829418927206
2351,2023-07-05,1.0,327.7813630031882
2352,2023-07-06,1.0,327.96353076908537
2353,2023-07-07,1.0,328.27964156877204
2354,2023-07-10,1.0,328.4822687551164
2355,2023-07-11,1.0,328.57215518948885
2356,2023-07-12,1.0,328.6235207133646
2357,2023-07-13,1.0,328.867135722278
2358,2023-07-14,1.0,329.0895785173144
2359,2023-07-17,1.0,329.50332552620733
2360,2023-07-18,1.0,329.75634875397776
2361,2023-07-19,1.0,331.06329200449835
2362,2023-07-20,1.0,331.8168335824081
2363,2023-07-21,1.0,332.2625050060406
2364,2023-07-24,1.0,332.8531855482683
2365,2023-07-25,1.0,333.06824879325455
2366,2023-07-26,1.0,333.51292333879337
2367,2023-07-27,0.0,333.6978768170904
2368,2023-07-28,1.0,333.6979285914275
2369,2023-07-31,1.0,333.75818560303117
2370,2023-08-01,1.0,333.78711047496137
2371,2023-08-02,0.0,333.81316155325356
2372,2023-08-03,0.0,333.73807501127584
2373,2023-08-04,0.0,333.67250108959564
2374,2023-08-07,0.0,333.62374023144395
2375,2023-08-08,0.0,333.5834101583628
2376,2023-08-09,0.0,333.48858033823143
2377,2023-08-10,0.0,333.36558151928136
2378,2023-08-11,0.0,333.2647534850572
2379,2023-08-14,0.0,333.10332274787214
2380,2023-08-15,0.0,332.99973548161284
2381,2023-08-16,0.0,332.9072052920498
2382,2023-08-17,0.0,332.7849479315562
2383,2023-08-18,0.0,332.62692272747995
2384,2023-08-21,0.0,332.41147668541146
2385,2023-08-22,0.0,332.26867486923766
2386,2023-08-23,0.0,332.19711846027906
2387,2023-08-24,0.0,332.1383253381452
2388,2023-08-25,0.0,332.049567080232
2389,2023-08-28,0.0,331.9486065722904
2390,2023-08-29,0.0,331.89131631939944
2391,2023-08-30,0.0,331.8413625108966
2392,2023-08-31,0.0,331.8163659907599
2393,2023-09-01,0.0,331.77547072291856
2394,2023-09-05,1.0,331.75733851313004
2395,2023-09-06,1.0,331.76239702014914
2396,2023-09-07,0.0,331.7683198477393
2397,2023-09-08,1.0,331.7592615404311
2398,2023-09-11,1.0,331.7726570231042
2399,2023-09-12,0.0,331.8129809515472
2400,2023-09-13,1.0,331.82481949254577
2401,2023-09-14,1.0,331.845523923467
2402,2023-09-15,0.0,331.90568676411397
2403,2023-09-18,0.0,331.9139834441183
2404,2023-09-19,0.0,331.89046093535677
2405,2023-09-20,0.0,331.860171356057
2406,2023-09-21,0.0,331.78675003120145
2407,2023-09-22,0.0,331.6145660013634
2408,2023-09-25,0.0,331.4977260090148
2409,2023-09-26,0.0,331.39155207933015
2410,2023-09-27,0.0,331.19519460074787
2411,2023-09-28,0.0,331.0496593249891
2412,2023-09-29,0.0,330.9089550771349
2413,2023-10-02,0.0,330.77576140882064
2414,2023-10-03,0.0,330.687180638122
2415,2023-10-04,0.0,330.56345903292936
2416,2023-10-05,0.0,330.46191294434544
2417,2023-10-06,0.0,330.38259785622535
2418,2023-10-09,0.0,330.3237853968048
2419,2023-10-10,0.0,330.3049051447769
2420,2023-10-11,1.0,330.29542734452605
2421,2023-10-12,1.0,330.3039714593277
2422,2023-10-13,0.0,330.31004476807493
2423,2023-10-16,1.0,330.3024255533949
2424,2023-10-17,1.0,330.32479778567307
2425,2023-10-18,0.0,330.32904358697806
2426,2023-10-19,1.0,330.3372349011166
2427,2023-10-20,0.0,330.3608495691756
2428,2023-10-23,0.0,330.34052352851444
2429,2023-10-24,1.0,330.32774537973347
2430,2023-10-25,1.0,330.3241716966799
2431,2023-10-26,0.0,330.52924587545317
2432,2023-10-27,0.0,330.5494742301847
2433,2023-10-30,1.0,330.56012254693746
2434,2023-10-31,1.0,330.6017657114485
2435,2023-11-01,1.0,330.64519358154007
2436,2023-11-02,1.0,330.7684315494395
2437,2023-11-03,1.0,330.8957541046285
2438,2023-11-06,1.0,331.04857045716335
2439,2023-11-07,1.0,331.2323486028947
2440,2023-11-08,1.0,331.4636645411625
2441,2023-11-09,1.0,331.7186216334948
2442,2023-11-10,1.0,331.94708628081645
2443,2023-11-13,1.0,332.2431018099933
2444,2023-11-14,1.0,332.4514630002521
2445,2023-11-15,1.0,332.75935658347817
2446,2023-11-16,1.0,333.0541796623461
2447,2023-11-17,1.0,333.3817329611589
2448,2023-11-20,1.0,333.8117643673351
2449,2023-11-21,1.0,334.4389435317962
2450,2023-11-22,1.0,334.75247630055054
2451,2023-11-24,1.0,335.03290859069074
2452,2023-11-27,1.0,335.15204047376085
2453,2023-11-28,1.0,335.4194428429916
2454,2023-11-29,1.0,335.6789891388625
2455,2023-11-30,1.0,336.0328797369846
2456,2023-12-01,1.0,336.38319681534455
2457,2023-12-04,1.0,336.72414811604284
2458,2023-12-05,1.0,336.985369141297
2459,2023-12-06,1.0,337.1902682120818
2460,2023-12-07,1.0,337.37584782534316
2461,2023-12-08,1.0,337.57140262775306
2462,2023-12-11,1.0,337.7542633777
2463,2023-12-12,1.0,337.9836830561501
2464,2023-12-13,1.0,338.2084485481017
2465,2023-12-14,1.0,338.49386142848675
2466,2023-12-15,1.0,338.81620716157573
2467,2023-12-18,1.0,339.41935675127144
2468,2023-12-19,1.0,339.59159990156525
2469,2023-12-20,1.0,339.75609716433456
2470,2023-12-21,1.0,339.9655562771856
2471,2023-12-22,1.0,340.1061516079036
2472,2023-12-26,1.0,340.2468788015697
2473,2023-12-27,1.0,340.35315808598267
2474,2023-12-28,1.0,340.4735583727294
2475,2023-12-29,1.0,340.59300394491044
2476,2024-01-02,1.0,340.74903008848423
2477,2024-01-03,1.0,340.9311183749851
2478,2024-01-04,1.0,341.0935101190525
2479,2024-01-05,1.0,341.23223996260026
2480,2024-01-08,1.0,341.36707490240184
2481,2024-01-09,1.0,341.5367109314976
2482,2024-01-10,1.0,341.69442759006404
2483,2024-01-11,1.0,341.92517288485345
2484,2024-01-12,1.0,342.2003080587593
2485,2024-01-16,1.0,342.4217485084178
2486,2024-01-17,1.0,342.71766992077863
2487,2024-01-18,1.0,342.94433236412993
2488,2024-01-19,1.0,343.2040336637294
2489,2024-01-22,1.0,343.55305618396335
2490,2024-01-23,1.0,343.8709528538333
2491,2024-01-24,1.0,344.11218982711523
2492,2024-01-25,1.0,344.43128740639366
2493,2024-01-26,1.0,344.7071323975272
2494,2024-01-29,1.0,344.93637187702996
2495,2024-01-30,1.0,345.2693305788444
2496,2024-01-31,1.0,345.7281557887064
2497,2024-02-01,1.0,346.31222427852134
2498,2024-02-02,1.0,346.6875546363018
2499,2024-02-05,1.0,347.05635006959517
2500,2024-02-06,1.0,347.3720342667742
2501,2024-02-07,1.0,347.5932350730798
2502,2024-02-08,1.0,347.8895647855823
2503,2024-02-09,1.0,348.1779533252913
2504,2024-02-12,1.0,348.49607206373037
2505,2024-02-13,1.0,348.7913020106788
2506,2024-02-14,1.0,349.11676589926805
2507,2024-02-15,1.0,349.3587229072097
2508,2024-02-16,1.0,349.609656764967
2509,2024-02-20,1.0,349.8573556236979
2510,2024-02-21,1.0,350.1081713068838
2511,2024-02-22,1.0,350.29434934929156
2512,2024-02-23,1.0,350.6174505705896
2513,2024-02-26,1.0,350.81285827855777
2514,2024-02-27,1.0,350.9973659549425
2515,2024-02-28,1.0,351.1582280565544
2516,2024-02-29,1.0,351.3026917594345
2517,2024-03-01,1.0,351.67282885152053
